"DS_SIT_ALU","aluno","DT_SIT_ALU","CD_ANO_INGRESSO","CD_SEM_INGRESSO","CD_ANO_ENS_MEDIO","CD_SEXO","DS_BAIRRO","DS_CIDADE","DS_ESTADO","LO_ProvavelConcludente","DEFICIENCIA","COR_RACA","num_idade","BOLSA_CONTA_BANCO_ID","BOLSAS_COTA_PRIORIDADE","N_COLOCA","N_TOTESC","N_NOTRED"
DESISTENTE,251,2019-01-07 00:00:00.000,"2018","1","2000","2",CIDADE DOS FUNCIONARIOS       ,FORTALEZA                     ,CE,0,"0",1,42,,99,,,
GRADUADO,252,2023-07-18 00:00:00.000,"2018","1","2017","1",JACARECANGA                   ,FORTALEZA                     ,CE,0,"0",1,23,237,99,,,
ABANDONO,253,2023-08-28 15:26:00.000,"2018","1","2017","1",MEIRELES                      ,FORTALEZA                     ,CE,0,"0",2,23,,99,,,
ABANDONO,254,2023-08-28 15:26:00.000,"2018","1","2017","1",MONTESE                       ,FORTALEZA                     ,CE,0,"0",1,24,,99,,,
CURSANDO,255,2018-07-12 00:00:00.000,"2018","1","2016","1",PARQUE DOIS IRMAOS            ,FORTALEZA                     ,CE,0,"0",1,24,,99,,,
CURSANDO,256,2018-07-12 00:00:00.000,"2018","1","2000","1",FLORESTA                      ,FORTALEZA                     ,CE,1,"0",1,26,237,99,,,
ABANDONO,257,2023-08-28 15:26:00.000,"2018","1","2016","1",TABAPUAZINHO                  ,CAUCAIA                       ,CE,0,"0",3,24,,2,1,50.0,55.5728
ABANDONO,258,2023-08-28 15:26:00.000,"2018","1","2016","1",JOAQUIM TAVORA                ,FORTALEZA                     ,CE,0,"0",3,25,,2,2,70.0,39.8147
DESISTENTE,259,2022-07-12 00:00:00.000,"2018","1","2017","1",PARQUELANDIA                  ,FORTALEZA                     ,CE,0,"0",1,23,,99,20,100.0,61.7805
DESISTENTE,260,2022-07-26 00:00:00.000,"2018","1","2016","1",CENTRO                        ,PARAIPABA                     ,CE,0,"0",3,24,237,99,25,90.0,67.5107
DESISTENTE,261,2022-07-12 00:00:00.000,"2018","1","2017","1",PARQUELANDIA                  ,FORTALEZA                     ,CE,0,"0",1,23,,99,30,108.0,45.5449
CURSANDO,262,2018-07-12 00:00:00.000,"2018","1","2017","1",PARANGABA                     ,FORTALEZA                     ,CE,0,"0",3,23,,99,33,90.0,64.1681
CURSANDO,263,2018-07-12 00:00:00.000,"2018","1","1990","1",CAMURUPIM                     ,CAUCAIA                       ,CE,0,"0",1,51,,99,38,88.0,59.3929
DESISTENTE,264,2018-07-18 00:00:00.000,"2018","1","2017","2",CENTRO                        ,FORTALEZA                     ,CE,0,"0",1,23,,99,1,100.0,60.8255
ABANDONO,265,2023-08-28 15:26:00.000,"2018","1","2017","1",SALINAS                       ,FORTALEZA                     ,CE,0,"0",1,23,,99,11,106.0,53.1852
ABANDONO,266,2023-08-28 15:26:00.000,"2018","1","2017","1",MESSEJANA                     ,FORTALEZA                     ,CE,0,"0",1,24,,99,16,86.0,67.5107
DESISTENTE,267,2019-01-25 00:00:00.000,"2018","1","2017","1",JANGURUSSU                    ,FORTALEZA                     ,CE,0,"0",3,23,,99,33,92.0,61.7805
CURSANDO,268,2018-07-12 00:00:00.000,"2018","1","2017","1",AUTRAN NUNES                  ,FORTALEZA                     ,CE,0,"0",1,24,,99,38,92.0,62.7355
ABANDONO,269,2023-08-28 15:26:00.000,"2018","1","2012","2",CONJUNTO CEARA                ,FORTALEZA                     ,CE,0,"0",3,28,,99,59,84.0,57.0053
CURSANDO,270,2018-07-12 00:00:00.000,"2018","1","2017","2",MEIRELES                      ,FORTALEZA                     ,CE,1,"4",1,23,,99,61,86.0,46.0224
