"DS_SIT_ALU","aluno","DT_SIT_ALU","CD_ANO_INGRESSO","CD_SEM_INGRESSO","CD_ANO_ENS_MEDIO","CD_SEXO","DS_BAIRRO","DS_CIDADE","DS_ESTADO","DEFICIENCIA","COR_RACA","num_idade","BOLSAS_COTA_PRIORIDADE","N_COLOCA","N_TOTESC","N_NOTRED"
CURSANDO,156,2023-07-25 00:00:00.000,"2023","2","2020","1",DIONISIO TORRES               ,FORTALEZA                     ,CE,"0",1,21,99,10,112.0,71.2344
CURSANDO,157,2023-07-25 00:00:00.000,"2023","2","2022","1",FATIMA                        ,FORTALEZA                     ,CE,"0",1,18,99,11,128.0,70.4454
CURSANDO,158,2023-07-25 00:00:00.000,"2023","2","2023","1",SAPIRANGA                     ,FORTALEZA                     ,CE,"0",1,17,99,12,126.0,68.8674
CURSANDO,159,2023-07-25 00:00:00.000,"2023","2","2023","1",JOSE DE ALENCAR               ,FORTALEZA                     ,CE,"0",3,17,99,13,126.0,66.5004
CURSANDO,160,2023-07-25 00:00:00.000,"2023","2","2023","1",VILA UNIAO                    ,FORTALEZA                     ,CE,"0",1,24,99,16,110.0,61.7664
CURSANDO,161,2023-07-25 00:00:00.000,"2023","2","2019","1",SERRINHA                      ,FORTALEZA                     ,CE,"0",3,21,99,19,124.0,69.6564
CURSANDO,162,2023-07-25 00:00:00.000,"2023","2","2022","1",DIONISIO TORRES               ,FORTALEZA                     ,CE,"0",1,18,99,22,110.0,68.0784
CURSANDO,163,2023-07-25 00:00:00.000,"2023","2","2022","2",ALDEOTA                       ,FORTALEZA                     ,CE,"0",0,19,99,26,118.0,71.2344
CURSANDO,164,2023-07-25 00:00:00.000,"2023","2","2023","1",PAPICU                        ,FORTALEZA                     ,CE,"0",3,18,99,30,118.0,71.2344
CURSANDO,165,2023-07-25 00:00:00.000,"2023","2","2017","1",PAUPINA                       ,FORTALEZA                     ,CE,"0",1,23,99,33,114.0,65.7114
CURSANDO,166,2023-07-25 00:00:00.000,"2023","2","2022","1",MEIRELES                      ,FORTALEZA                     ,CE,"0",1,18,99,35,110.0,65.7114
CURSANDO,167,2023-07-25 00:00:00.000,"2023","2","2022","1",CRISTO REDENTOR               ,FORTALEZA                     ,CE,"0",1,18,99,40,114.0,68.8674
CURSANDO,168,2023-07-25 00:00:00.000,"2023","2","2018","1",CENTRO                        ,Fortaleza                     ,PI,"0",3,22,99,42,116.0,57.0325
CURSANDO,169,2023-07-25 00:00:00.000,"2023","2","2021","1",PARREAO                       ,FORTALEZA                     ,CE,"0",1,19,99,48,110.0,69.6564
CURSANDO,170,2023-07-25 00:00:00.000,"2023","2","2022","1",ATLANTICO                     ,PARACURU                      ,CE,"0",3,20,99,51,110.0,61.7664
